# Re Bn n x v
100 0 1.0 0.06257668711656442 0.0928767123287666
100 0 1.0 0.07852760736196321 0.10986301369862983
100 0 1.0 0.09386503067484664 0.12410958904109548
100 0 1.0 0.15644171779141108 0.16191780821917767
100 0 1.0 0.2263803680981596 0.17616438356164332
100 0 1.0 0.23435582822085899 0.17671232876712284
100 0 1.0 0.4993865030674848 0.055616438356164144
100 0 1.0 0.8036809815950922 -0.24575342465753436
100 0 1.0 0.8582822085889573 -0.22438356164383566
100 0 1.0 0.9055214723926384 -0.16849315068493143
100 0 1.0 0.9435582822085893 -0.10273972602739745
100 0 1.0 0.966871165644172 -0.06000000000000005
